Total Nacional;Comunidades y Ciudades Autónomas;Origen del agua;periodo;Total
España;Comunitat Valenciana;Otros recursos hídricos;2012;97.743
España;Comunitat Valenciana;Otros recursos hídricos;2011;82.540
España;Comunitat Valenciana;Otros recursos hídricos;2010;97.451
España;Comunitat Valenciana;Otros recursos hídricos;2009;108.820
España;Comunitat Valenciana;Otros recursos hídricos;2008;63.500
España;Comunitat Valenciana;Otros recursos hídricos;2007;65.455
España;Comunitat Valenciana;Otros recursos hídricos;2006;91.564
España;Comunitat Valenciana;Otros recursos hídricos;2005;67.907
España;Comunitat Valenciana;Otros recursos hídricos;2004;140.813
España;Comunitat Valenciana;Otros recursos hídricos;2003;26.786
España;Comunitat Valenciana;Otros recursos hídricos;2002;104.447
España;Comunitat Valenciana;Otros recursos hídricos;2001;281.708
España;Comunitat Valenciana;Otros recursos hídricos;2000;59.953
España;Extremadura;Total;2018;1.886.472
España;Extremadura;Total;2016;1.992.450
España;Extremadura;Total;2015;1.850.472
España;Extremadura;Total;2014;1.796.542
España;Extremadura;Total;2013;1.991.254
España;Extremadura;Total;2012;2.087.235
España;Extremadura;Total;2011;2.025.147
España;Extremadura;Total;2010;2.112.621
España;Extremadura;Total;2009;2.242.121
España;Extremadura;Total;2008;1.644.678
España;Extremadura;Total;2007;1.661.275
España;Extremadura;Total;2006;1.484.674
España;Extremadura;Total;2005;1.540.448
España;Extremadura;Total;2004;1.630.005
España;Extremadura;Total;2003;1.938.564
España;Extremadura;Total;2002;1.687.298
España;Extremadura;Total;2001;1.927.409
España;Extremadura;Total;2000;1.835.570
España;Extremadura;Aguas superficiales;2018;1.712.917
España;Extremadura;Aguas superficiales;2016;1.783.243
España;Extremadura;Aguas superficiales;2015;1.659.873
España;Extremadura;Aguas superficiales;2014;1.643.390
España;Extremadura;Aguas superficiales;2013;1.762.289
España;Extremadura;Aguas superficiales;2012;1.830.267
España;Extremadura;Aguas superficiales;2011;1.824.025
España;Extremadura;Aguas superficiales;2010;1.906.071
España;Extremadura;Aguas superficiales;2009;2.022.911
España;Extremadura;Aguas superficiales;2008;1.483.879
España;Extremadura;Aguas superficiales;2007;1.498.853
España;Extremadura;Aguas superficiales;2006;1.386.536
España;Extremadura;Aguas superficiales;2005;1.344.255
España;Extremadura;Aguas superficiales;2004;1.630.005
España;Extremadura;Aguas superficiales;2003;1.926.671
España;Extremadura;Aguas superficiales;2002;1.687.298
España;Extremadura;Aguas superficiales;2001;1.857.152
España;Extremadura;Aguas superficiales;2000;1.791.242
España;Extremadura;Aguas subterráneas;2018;173.555
España;Extremadura;Aguas subterráneas;2016;209.207
España;Extremadura;Aguas subterráneas;2015;190.599
España;Extremadura;Aguas subterráneas;2014;153.152
España;Extremadura;Aguas subterráneas;2013;228.965
España;Extremadura;Aguas subterráneas;2012;256.968
España;Extremadura;Aguas subterráneas;2011;201.122
España;Extremadura;Aguas subterráneas;2010;206.550
España;Extremadura;Aguas subterráneas;2009;219.210
España;Extremadura;Aguas subterráneas;2008;160.799
España;Extremadura;Aguas subterráneas;2007;162.422
España;Extremadura;Aguas subterráneas;2006;98.138
España;Extremadura;Aguas subterráneas;2005;196.193
España;Extremadura;Aguas subterráneas;2004;0
España;Extremadura;Aguas subterráneas;2003;0
España;Extremadura;Aguas subterráneas;2002;0
